"224.9865 , 136.986 , 161.976","196.9875 , 87.975 , 122.9865","176.9955 , 96.9765 , 121.074","156.978 , 28.9935 , 83.997","124.9755 , 61.9905 , 78.999","125.9955 , 11.985 , 69.9975","82.977 , 37.995 , 60.996","178.9845 , 138.975 , 183.9825","143.9985 , 90.984 , 168.9885","139.995 , 95.982 , 146.982","100.98 , 43.9875 , 124.9755","93.993 , 66.9885 , 99.9855","67.983 , 15.9885 , 89.9895","51.9945 , 31.977 , 59.976","151.98 , 150.9855 , 192.984","113.985 , 113.985 , 201.9855","113.985 , 107.9925 , 146.982","57.987 , 49.98 , 158.9925","78.999 , 72.981 , 108.987","38.9895 , 29.988 , 110.976","23.9955 , 22.9755 , 57.987","134.997 , 162.996 , 201.9855","66.9885 , 122.9865 , 196.9875","95.982 , 122.9865 , 167.994","12.9795 , 79.9935 , 162.996","63.9795 , 89.9895 , 122.9865","2.9835 , 44.982 , 136.986","3.978 , 32.997 , 64.9995","115.9995 , 183.9825 , 195.993","51 , 148.9965 , 183.9825","88.995 , 145.9875 , 162.996","2.9835 , 82.977 , 154.989","47.991 , 40.9785 , 116.994","3.978 , 64.9995 , 111.996","9.996 , 56.9925 , 76.9845","141.984 , 207.978 , 193.9785","65.994 , 167.994 , 154.989","104.9835 , 168.9885 , 153","8.976 , 110.976 , 121.992","54.978 , 116.994 , 103.989","3.978 , 78.999 , 73.9755","10.9905 , 59.976 , 56.9925","163.9905 , 226.9755 , 172.992","95.982 , 193.9785 , 110.976","131.988 , 179.979 , 127.9845","64.9995 , 161.976 , 68.9775","72.981 , 127.9845 , 85.986","32.997 , 116.994 , 39.984","22.9755 , 61.9905 , 31.977","216.9795 , 226.9755 , 106.998","197.982 , 221.9775 , 36.975","174.981 , 190.995 , 90.984","170.9775 , 201.9855 , 1.989","132.9825 , 147.9765 , 42.993","117.9885 , 142.9785 , 0.9945","68.9775 , 85.986 , 7.9815","251.991 , 236.997 , 119.9775","252.9855 , 221.9775 , 42.993","211.9815 , 190.995 , 81.9825","244.9785 , 208.998 , 0.9945","175.9755 , 151.98 , 45.9765","170.9775 , 143.9985 , 2.9835","104.9835 , 90.984 , 20.9865","250.9965 , 200.991 , 141.984","251.991 , 166.9995 , 40.9785","228.99 , 154.989 , 91.9785","255 , 143.9985 , 0","174.981 , 120.9975 , 60.996","172.992 , 100.98 , 1.989","118.983 , 69.9975 , 11.985","250.9965 , 175.9755 , 153","251.991 , 112.9905 , 46.9965","230.979 , 126.99 , 114.9795","232.9935 , 52.989 , 6.987","162.996 , 87.975 , 57.987","165.9795 , 26.979 , 1.989","120.9975 , 41.9985 , 24.99","246.993 , 153.9945 , 161.976","226.9755 , 97.9965 , 100.98","210.987 , 121.992 , 125.9955","218.994 , 11.985 , 39.984","150.9855 , 72.981 , 75.99","155.9835 , 8.976 , 26.979","89.9895 , 29.988 , 31.977","1.989 , 3.978 , 0.9945","41.9985 , 48.9855 , 40.9785","89.9895 , 95.982 , 81.9825","93.993 , 99.9855 , 85.986","126.99 , 130.9935 , 116.994","157.998 , 161.976 , 147.9765","180.999 , 186.9915 , 172.992","216.9795 , 218.994 , 205.989","246.993 , 247.9875 , 241.995",Row.RGB
5.366666667,5.857142857,5.525,6.214285714,5.92,6.323529412,6.357142857,5.138888889,5.25,6.25,4.78125,5.9375,6.5625,6.416666667,5.307692308,5.5,5.153846154,6.375,5.777777778,6.138888889,5.894736842,4.09375,5.5,4.966666667,5.552631579,6.21875,6.09375,5.8,5.266666667,6.25,5.342105263,5.90625,6.285714286,6,5.111111111,4.464285714,5.363636364,5,5,5.666666667,6.275,5.833333333,4.861111111,6.173913043,4.666666667,5.727272727,5.880952381,6.295454545,6.178571429,4.75,5.642857143,4.958333333,6.233333333,6.227272727,5.55,5.75,3.961538462,4.615384615,4.65,5.861111111,5.6875,5.772727273,5.45,3.633333333,6.433333333,5.230769231,6.277777778,6.375,5.78125,6.65625,4.615384615,5.923076923,5.941176471,6.692307692,6.289473684,6.375,6.125,4.823529412,5.7,4.785714286,6.035714286,6.029411765,6.230769231,6.264705882,6.433333333,6.176470588,6.041666667,5.285714286,3.321428571,2.4,1.75,0.69047619,0.25,"246.993 , 247.9875 , 241.995"
5.033333333,5.526315789,6.142857143,6.176470588,5.595238095,6.291666667,5.590909091,4.916666667,5.2,4.352941176,6.138888889,5.541666667,5.821428571,6,3.7,5,4.269230769,6.131578947,5.326086957,4.973684211,5.678571429,3.727272727,5.409090909,4.196428571,5.71875,4.525,6.214285714,5.5,4.64,5.095238095,5.466666667,5.586956522,6.425,5.192307692,4.7,4.178571429,5.294117647,4.714285714,5.361111111,5.613636364,5.904761905,5.825,4.105263158,5.15,3.875,5.409090909,5.5,5.678571429,5.277777778,4.071428571,5.52173913,3.857142857,4.725,5.466666667,5,5.02173913,3.846153846,5.065217391,4.475,5.078947368,5.361111111,5.264705882,5.088235294,3.636363636,4.730769231,5.615384615,5.714285714,4.6,5.522727273,5.323529412,4.659090909,5.857142857,5.022727273,6.210526316,6.071428571,6.666666667,5.9375,4.7,5.05,5.352941176,6.461538462,5.363636364,6.4375,6.178571429,6.205882353,5.6875,4.026315789,3.833333333,2.230769231,1.375,1.25,0.2,NA,"216.9795 , 218.994 , 205.989"
5.125,5.117647059,4.710526316,5.52,5.464285714,5.882352941,5.375,5.035714286,6.375,5.1,5.346153846,5.4,5.2,6,3.9,4.568181818,4.4375,5.59375,5.5,5.111111111,4.5,4.615384615,5.235294118,5.131578947,4.75,4.0625,5.6875,4.952380952,3.944444444,4.833333333,4.2,5.033333333,5.318181818,5.113636364,4.95,3.357142857,3.977272727,3.535714286,3.8,4.675,4.095238095,3.833333333,3.65625,4.340909091,3.5,4.59375,4.027777778,4.541666667,4.0625,4.633333333,4.684210526,4.02173913,5.05,4.055555556,3.5,3.958333333,4.911764706,5.32,4.111111111,4.65625,4.804347826,4.5,4.75,3.475,6.029411765,5.047619048,5.82,5.565217391,5.90625,5.964285714,4.65,6.5,5.470588235,6.184210526,4.208333333,5.571428571,5.769230769,5.375,5.35,4.807692308,6.35,5,6.277777778,5.916666667,5.5,4.125,2.966666667,3.269230769,2.913043478,0.537037037,0.464285714,NA,NA,"180.999 , 186.9915 , 172.992"
4.866666667,5.45,5.1,5.934782609,5.428571429,5.456521739,6.125,4.113636364,5.571428571,4.961538462,5.522727273,5.066666667,5.352941176,5.466666667,4.113636364,5.769230769,4.535714286,5.53125,4.526315789,5.447368421,5.75,3.739130435,5.857142857,5.111111111,5.588235294,4.633333333,5.676470588,4.34375,4.7,5.54,3.961538462,5.9375,5.230769231,5.291666667,4.657894737,4.34375,4.441176471,4.071428571,3.825,3.588235294,4.714285714,3.638888889,3.416666667,4.25,3.153846154,4,3.25,4.184210526,5.138888889,4,4.84375,3.666666667,4.21875,4.466666667,4.526315789,4.066666667,4.25,5.285714286,4.285714286,5.047619048,4.461538462,5.125,4.03125,4.825,5.6875,5.764705882,5.78125,5,5.7,5.708333333,4.411764706,5.882352941,5.033333333,6,5.304347826,6.347826087,6.423076923,5.294117647,5.473684211,4.956521739,6.203703704,5.5,6.40625,5.675,5,3.261904762,2.840909091,2.541666667,2.235294118,0.357142857,NA,NA,NA,"157.998 , 161.976 , 147.9765"
5.583333333,5.5,5.21875,6.34375,5.666666667,5.760869565,5.447368421,4.736842105,5.431818182,5.043478261,5.782608696,5.625,6.192307692,5.617647059,4.875,5.833333333,4.833333333,5.133333333,5.078947368,5.75,5.888888889,4.571428571,5.1,4.178571429,5.75862069,4.847826087,5.708333333,5.705882353,4.666666667,5.25,4.970588235,5.076923077,5.029411765,5.59375,4.555555556,4.125,4.136363636,4.023809524,4.607142857,3.423076923,3.785714286,4.038461538,3.431818182,3.7,2.794117647,3.676470588,3.615384615,4.15625,3.75,4.428571429,4.425,3.964285714,3.346153846,3.214285714,3.115384615,4.25,3.785714286,4.733333333,4.195652174,4.733333333,4.529411765,4.464285714,3.714285714,4.4375,5.566666667,4.75,5.352941176,3.966666667,4.416666667,4.694444444,5.1,6.071428571,6.0625,6.166666667,4.5,6,5.8,5.5,6.136363636,5.363636364,5.791666667,5.575,5.676470588,5.75,5.318181818,3.558823529,2.263157895,2.15625,0.407407407,NA,NA,NA,NA,"126.99 , 130.9935 , 116.994"
5.972222222,6.166666667,4.846153846,5.28125,5.388888889,5.954545455,5.6,5.583333333,5.361111111,4.96875,5.882352941,4.6,5.772727273,5.392857143,5.366666667,5.342105263,4.527777778,5.25,4.5,4.868421053,4.384615385,4.769230769,5.40625,4.65,4.941176471,4.035714286,5.452380952,4.394736842,4.357142857,5.692307692,4.545454545,4.642857143,5.117647059,4.846153846,3.868421053,4.3,3.892857143,3.90625,4.346153846,3.409090909,3.148148148,3.138888889,3.366666667,2.975,3.076923077,3.441176471,2.861111111,3.5,3.058823529,3.647058824,4.875,3.55,3.821428571,3.125,2.25,2.708333333,5.333333333,5.230769231,5.0625,6.25,4.083333333,4.785714286,3.473684211,5.666666667,5.369565217,5.2,5.892857143,5.428571429,4.833333333,5.086956522,5.888888889,6.3,6.133333333,6.352941176,5.25,6.0625,5.5,5.038461538,5.785714286,5.238095238,6.176470588,4.3125,6.1875,5.333333333,4.02173913,2.555555556,0.275,0.411764706,NA,NA,NA,NA,NA,"93.993 , 99.9855 , 85.986"
5.15,5.65625,5.369565217,5.65625,5.428571429,5.583333333,5.019230769,5.710526316,5.086956522,5.477272727,5,5.157894737,5.047619048,4.692307692,4.633333333,5.125,5.033333333,5.411764706,4.647058824,4.71875,4.71875,4.909090909,5.178571429,4.083333333,5.115384615,5,5.133333333,4.25,4.842105263,5.326923077,4.678571429,4.8,5.275,4.428571429,4.5,4.5,3.815789474,3.444444444,4.176470588,3.369565217,3.5625,3.15625,2.852941176,3.923076923,2.933333333,3.194444444,2.789473684,3.058823529,2.882352941,3.558823529,4.176470588,3.057692308,4.105263158,3.0625,3.5,2.6,5.5,5.527777778,3.785714286,4.785714286,4.428571429,4.575,3.775,5.326086957,5.631578947,5.6,5.947368421,4.5,4.972222222,4.423076923,5.571428571,6.105263158,5.725,6.588235294,4.769230769,6.194444444,6.147058824,5.466666667,5,5.583333333,5.571428571,5.076923077,6.3125,5.235294118,3.538461538,2.264705882,1.105263158,NA,NA,NA,NA,NA,NA,"89.9895 , 95.982 , 81.9825"
6.625,6.066666667,5.583333333,5.75,5.941176471,5.1,3.78125,6.035714286,6.40625,5.766666667,5.5,4.821428571,4.815789474,2.638888889,5.794117647,5.583333333,5.285714286,4.892857143,4.5,4.452380952,2.404761905,4.863636364,5.4,4.413043478,5.09375,3.846153846,3.904761905,2.411764706,5.384615385,5.125,4.9375,4.555555556,4.157894737,4.125,3.235294118,4.558823529,4.269230769,4.25862069,3.958333333,3.15,2.6,2.222222222,4.0625,3.815789474,4.315789474,4.272727273,3.346153846,3.5,2.90625,5.321428571,4.892857143,4.208333333,4.192307692,4.153846154,3.571428571,2.588235294,5.392857143,5.525,5.90625,6.09375,5.888888889,5.233333333,4.25,5.694444444,6.323529412,6.1875,6.277777778,5.875,5.857142857,4.833333333,6.166666667,6.285714286,6.366666667,6.083333333,5.0625,6.266666667,5.227272727,6.46875,6.071428571,5.833333333,6.035714286,5.148148148,6.285714286,5.375,1.966666667,0.525,NA,NA,NA,NA,NA,NA,NA,"41.9985 , 48.9855 , 40.9785"
6.230769231,6.260869565,6,6.111111111,5.970588235,5.433333333,4.029411765,6.307692308,5.923076923,5.681818182,5.403846154,5.5,5.272727273,3.916666667,6.558823529,5.4,5.038461538,5.7,5.071428571,4.833333333,2,6.15625,6,6.083333333,5.318181818,4.543478261,4.923076923,4,5.954545455,6,6.333333333,5.638888889,3.805555556,5.166666667,3.65,6.107142857,6.304347826,6.694444444,5.055555556,5.976190476,4.735294118,4.029411765,5.847826087,6.185185185,6.065217391,6.176470588,4.9375,5.714285714,4.75,6.466666667,6.043478261,6.294117647,6.15,5.576923077,6.178571429,5.733333333,6.5,5.789473684,6.175,6.5,5.805555556,6.416666667,4.886363636,6.368421053,6.69047619,6,6.636363636,5.578947368,6.384615385,5.340909091,6.605263158,6.714285714,5.956521739,6.175,5.875,6.34375,4.80952381,6.346153846,6.461538462,6.5,6.214285714,6.733333333,6.638888889,4.74,0.588235294,NA,NA,NA,NA,NA,NA,NA,NA,"1.989 , 3.978 , 0.9945"
3.818181818,3.222222222,3.159090909,3,2.194444444,2,1.444444444,4.342105263,4.09375,4.53125,4.175,4.033333333,3.6,5,5.722222222,5.235294118,4.5,5.857142857,4.210526316,4.944444444,4.260869565,5.533333333,5.78125,5.944444444,5.382352941,5.5,5.289473684,4.681818182,5.769230769,5.7,5.6875,5.7,5.470588235,5.092592593,5,6.5,5.846153846,6.333333333,5.5,6.023809524,5.760869565,5.166666667,6.21875,6.657894737,5.472222222,5.875,5,5.404761905,4.464285714,6.083333333,5.75,5.886363636,6.5,5.714285714,6.083333333,5.333333333,6.558823529,6.384615385,5.153846154,6.115384615,5.586956522,5.59375,4.675,4.611111111,5.472222222,4.5,5,5.176470588,4.16,3.454545455,4.25,5.131578947,3.880952381,3.529411765,3.136363636,2.6875,1.615384615,3.833333333,3.921052632,3.666666667,3.568181818,2.428571429,2.961538462,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.9895 , 29.988 , 31.977"
